SPCD,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL
11,Pacific silver fir,Abies,amabilis,,,ABAM
12,balsam fir,Abies,balsamea,,,ABBA
14,Santa Lucia or bristlecone fir,Abies,bracteata,,,ABBR
15,white fir,Abies,concolor,,,ABCO
16,Fraser fir,Abies,fraseri,,,ABFR
17,grand fir,Abies,grandis,,,ABGR
18,corkbark fir,Abies,lasiocarpa,arizonica,,ABLAA
19,subalpine fir,Abies,lasiocarpa,,,ABLA
20,California red fir,Abies,magnifica,,,ABMA
22,noble fir,Abies,procera,,,ABPR
21,Shasta red fir,Abies,shastensis,,,ABSH
10,fir spp.,Abies,spp.,,,ABIES
6001,blackbrush wattle,Acacia,anegadensis,,,ACAN4
6002,mulga,Acacia,aneura,,,ACAN10
6003,auri,Acacia,auriculiformis,,,ACAU
6004,small Philippine acacia,Acacia,confusa,,,ACCO
303,sweet acacia,Acacia,farnesiana,,,ACFA
304,catclaw acacia,Acacia,greggii,,,ACGR
6006,koa,Acacia,koa,,,ACKO
6007,koaoha,Acacia,koaia,,,ACKO2
6008,porknut,Acacia,macracantha,,,ACMA
6009,black wattle,Acacia,mangium,,,ACMA12
6010,black wattle,Acacia,mearnsii,,,ACME80
6011,blackwood,Acacia,melanoxylon,,,ACME
6012,spineless wattle,Acacia,muricata,,,ACMU
6013,gum arabic tree,Acacia,nilotica,,,ACNI2
6014,South Wales wattle,Acacia,parramattensis,,,ACPA81
6015,Acacia polyacantha,Acacia,polyacantha,,,ACPO3
300,acacia spp.,Acacia,spp.,,,ACACI
6018,poponax,Acacia,tortuosa,,,ACTO
311,Florida maple,Acer,barbatum,,,ACBA3
5145,hedge maple,Acer,campestre,,,ACCA5
5146,vine maple,Acer,circinatum,,,ACCI
5147,Amur maple,Acer,ginnala,,,ACGI
321,Rocky Mountain maple,Acer,glabrum,,,ACGL
322,bigtooth maple,Acer,grandidentatum,,,ACGR3
5148,paperbark maple,Acer,griseum,,,ACGR14
323,chalk maple,Acer,leucoderme,,,ACLE
312,bigleaf maple,Acer,macrophyllum,,,ACMA3
5149,Painted maple,Acer,mono,,,ACMO10
313,boxelder,Acer,negundo,,,ACNE2
314,black maple,Acer,nigrum,,,ACNI5
5150,Japanese maple,Acer,palmatum,,,ACPA2
315,striped maple,Acer,pensylvanicum,,,ACPE
320,Norway maple,Acer,platanoides,,,ACPL
5151,sycamore maple,Acer,pseudoplatanus,,,ACPS
316,red maple,Acer,rubrum,,,ACRU
317,silver maple,Acer,saccharinum,,,ACSA2
318,sugar maple,Acer,saccharum,,,ACSA3
319,mountain maple,Acer,spicatum,,,ACSP2
310,maple spp.,Acer,spp.,,,ACER
5152,tatarian maple,Acer,tataricum,,,ACTA80
5154,Freeman maple,Acer,x freemanii,,,ACFR
6021,hollowheart,Acnistus,arborescens,,,ACAR
906,"Everglades palm, paurotis-palm",Acoelorraphe,wrightii,,,ACWR4
6023,grugru palm,Acrocomia,media,,,ACME2
6025,baobab,Adansonia,digitata,,,ADDI3
6026,wild lime,Adelia,ricinella,,,ADRI
6028,red beadtree,Adenanthera,pavonina,,,ADPA
6029,beadtree,Adenanthera,spp.,,,ADENA
6032,Caribbean spiritweed,Aegiphila,martinicensis,,,AEMA
333,California buckeye,Aesculus,californica,,,AECA
332,yellow buckeye,Aesculus,flava,,,AEFL
331,Ohio buckeye,Aesculus,glabra,,,AEGL
334,Texas buckeye,Aesculus,glabra,arguta,,AEGLA
5163,horse chestnut,Aesculus,hippocastanum,,,AEHI
5164,bottlebrush buckeye,Aesculus,parviflora,,,AEPA2
336,red buckeye,Aesculus,pavia,,,AEPA
330,"buckeye, horsechestnut spp.",Aesculus,spp.,,,AESCU
337,painted buckeye,Aesculus,sylvatica,,,AESY
6036,kauri,Agathis,australis,,,AGAU4
6037,Queensland kauri,Agathis,robusta,,,AGRO6
6042,Titimel,Aglaia,mariannensis,,,AGMA14
6043,mesecheues,Aglaia,palauensis,,,AGPA19
6044,"karasyu, marasau",Aglaia,ponapensis,,,AGPO4
6046,laga ali,Aglaia,samoensis,,,AGSA9
6047,Aglaia,Aglaia,spp.,,,AGLAI
6048,Olomea,Aidia,cochinchinensis,,,AICO2
6049,Aidia racemosa,Aidia,racemosa,,,AIRA2
341,ailanthus,Ailanthus,altissima,,,AIAL
6051,ailanthus,Ailanthus,spp.,,,AILAN
6053,Aiphanes minima,Aiphanes,minima,,,AIMI
6055,cream albizia,Albizia,adinocephala,,,ALAD
6056,naked albizia,Albizia,carbonaria,,,ALCA8
6057,Chinese albizia,Albizia,chinensis,,,ALCH2
6058,ukall ra ngebard,Albizia,falcataria,,,ALFA5
345,"mimosa, silktree",Albizia,julibrissin,,,ALJU
6059,woman's tongue,Albizia,lebbeck,,,ALLE
6060,tall albizia,Albizia,procera,,,ALPR
6061,ukall ra ngebard,Albizia,retusa,,,ALRE
6062,whiteflower albizia,Albizia,saponaria,,,ALSA10
6063,albizia,Albizia,spp.,,,ALBIZ
6064,achiotillo,Alchornea,latifolia,,,ALLA
