"","spcd","best_model","peak_lat","peak_val","min_lat","min_val","max_lat","max_val","common_name"
"1","422","I",NA,NA,"30","1.33974358974359","38","1.33974358974359","Allegheny chinkapin"
"2","951","V","47.2","21.3859181042886","28","0.0526231123940195","49","7.08777525685326","American basswood"
"3","531","V","44.9","39.0092389081876","29","0.401134305240409","47.5","26.0822874070019","American beech"
"4","972","V","46.6","11.2856241821254","27","1.99764995976126","49","3.25967328028463","American elm"
"5","591","V","38.7","16.5273577847525","28.5","1.15978001390573","42.5","0.000781504729029103","American holly"
"6","391","II","27.5","6.14095820255724","27.5","6.14095820255724","48","4.72097990589567","American hornbeam, musclewood"
"7","766","IV","40.6","3.68184077397119","30","0.799128046138355","47.5","1.80060369904793","American plum"
"8","731","III","35.7140756243173","3.45958815964849","30","3.45978865538939","43.5","1.27667911312012","American sycamore"
"9","43","IV","40.1","77.5365826648203","29.5","8.40857130079713e-25","44.5","2.40499667891273e-08","Atlantic white-cedar"
"10","221","II","25.5","19.6786969825223","25.5","19.6786969825223","40","1.92609418741277","baldcypress"
"11","402","V","45.2","6.23320029308776","30","1.43290719996023","46.5","2.58277637370944","bitternut hickory"
"12","762","V","43.3","13.6484338777819","27.5","2.31359955172968","48.5","2.05586173944769","black cherry"
"13","837","III","41.1759856546033","11.9068703227887","30.5","0.179838571378239","46","11.9135610818728","black oak"
"14","602","V","43.1","5.76297591229018","30.5","1.58201311383067","47","0.311982891207307","black walnut"
"15","922","IV","36.7","6.17391677360276","28","3.53865401003298","49","1.88566301824539","black willow"
"16","693","IV","36.5","10.4690608513455","27","1.50390181859733","44","3.50631009607679","blackgum"
"17","824","I",NA,NA,"29","5.00235545533631","41","5.00235545533631","blackjack oak"
"18","842","V","33.6","3.90661479973173","28","2.34659552767017","35.5","0.583876720577963","bluejack oak"
"19","313","V","46.1","8.69810572501034","28.5","2.94249023857112","49","4.17460891353089","boxelder"
"20","912","II","25.5","40.4297302227002","25.5","40.4297302227002","33","3.76892359727504","cabbage palmetto"
"21","858","I",NA,NA,"27","3.38138528138528","32","3.38138528138528","camphortree"
"22","548","II","25.5","14.1842792037887","25.5","14.1842792037887","37.5","2.33272255787235","Carolina ash"
"23","953","II","28.5","5.87353546071722","28.5","5.87353546071722","35.5","0.746244992642604","Carolina basswood"
"24","973","I",NA,NA,"29","2.91220017636684","36.5","2.91220017636684","cedar elm"
"25","813","V","31.4","5.09627326374106","28.5","2.29945452941121e-07","39.5","2.43465585920706","cherrybark oak"
"26","993","IV","32.5","3.69506836033341","28","1.27020818694058","36","2.03631397732063","chinaberry"
"27","994","V","32.3","5.67798845475253","27","1.93685894856023","34.5","0.312564030838045","Chinese tallowtree"
"28","826","V","36.8","5.21275397084241","30.5","0.473519046490891","43.5","2.42085806900384","chinkapin oak"
"29","925","II","25","9.97515284303492","25","9.97515284303492","37.5","6.7689780942601","coastal plain willow"
"30","501","I",NA,NA,"29.5","2.54285714285714","48.5","2.54285714285714","cockspur hawthorn"
"31","521","II","40","3.14567750697071","25.5","1.14294714079074","40","3.14567750697071","common persimmon"
"32","651","IV","38.5","4.21110032102206","30","0.331662475711611","43.5","1.57215889197443","cucumbertree"
"33","841","V","28.4","12.8816199394586","25.5","0.485649423505889","31.5","2.5711244979592","dwarf live oak"
"34","840","V","33.4","6.7844400160058","28.5","4.49581964671099","35.5","3.08261297400497","dwarf post oak"
"35","701","II","48.5","9.56378215982513","28","2.21121430865966","48.5","9.56378215982513","eastern hophornbeam"
"36","471","II","42","5.18510711135987","29","1.58151127992044","42","5.18510711135987","eastern redbud"
"37","68","V","36.4","17.8311098521491","28","0.0184818655230503","46","3.08169686211738","eastern redcedar"
"38","311","V","35.8","5.86179847667775","29","2.73618952743906","37.5","1.98862551337887","Florida maple"
"39","491","V","33.3","6.35198478324073","28.5","1.21332811034283","45","2.63603720363208","flowering dogwood"
"40","544","II","49","9.57802813855008","25.5","8.10064724517068","49","9.57802813855008","green ash"
"41","462","V","42","5.62448486048966","26","1.10959847382973","48.5","0.495323546843718","hackberry"
"42","552","V","42.1","4.62995075913196","29.5","1.78964330668718","45","2.80411854682261","honeylocust"
"43","820","V","30","19.50402453933","25.5","1.5276242356165","40","0.139743429863292","laurel oak"
"44","838","II","25.5","12.9358989538148","25.5","12.9358989538148","36","2.95168832076405","live oak"
"45","555","II","36","19.6397460442367","26.5","14.2296527119049","36","19.6397460442367","loblolly-bay"
"46","131","V","32.1","193.322253117174","28","0.0319116377830476","42.5","8.00988607213804","loblolly pine"
"47","121","V","34.8","23.0415598739784","26.5","8.39694713426449","36.5","6.86418201666026","longleaf pine"
"48","345","V","37.4","2.85835038975259","28.5","1.63204169658869","42.5","0.54590672619832","mimosa, silktree"
"49","409","IV","35.8","7.85626458409957","29","1.05886023067032","43.5","0.605788299793689","mockernut hickory"
"50","822","V","31.6","6.03616430705962","29.5","1.45499669912805","39","1.6193515648227","overcup oak"
"51","367","IV","37.4","3.1595090169151","29","1.1683938573353","42","2.350191976611","pawpaw"
"52","404","I",NA,NA,"29.5","2.61888957941964","40.5","2.61888957941964","pecan"
"53","403","IV","36.9","7.9645970670975","27","1.71067850136836","44.5","3.18701798428988","pignut hickory"
"54","128","V","36.1","24.3212627107998","28","3.18307850776697","40","1.30542162869811e-11","pond pine"
"55","222","II","25.5","103.595646001761","25.5","103.595646001761","36","0.791096308036424","pondcypress"
"56","835","V","37.5","15.7199293844056","28.5","1.21143868028537","41.5","1.60683942776256","post oak"
"57","545","II","28","12.6885035452112","28","12.6885035452112","38.5","3.20839210819795","pumpkin ash"
"58","316","V","45.9","65.3152396401535","25.5","5.77396196266563","49","18.1714760542087","red maple"
"59","682","II","45","3.63910100004916","26","1.02270236217418","45","3.63910100004916","red mulberry"
"60","721","II","37.5","10.5502019758427","25","3.34317600849542","37.5","10.5502019758427","redbay"
"61","373","V","43.5","5.52099750053476","29.5","3.0643305999056","45.5","0.838070662023503","river birch"
"62","410","I",NA,NA,"29","2.87616003005709","39","2.87616003005709","sand hickory"
"63","107","V","29.5","76.5149025667917","27","0.0866754870491365","33","4.93387369363465","sand pine"
"64","931","IV","39.5","8.2024202353439","30","0.611730823384308","44.5","4.15753178744442","sassafras"
"65","110","V","36.1","22.7067567996871","30","2.81858256623656","40.5","1.30313562207728","shortleaf pine"
"66","834","IV","38.9","3.91650035552259","28.5","0.5734322511627","42.5","3.06647687097015","Shumard oak"
"67","111","V","29.8","157.751604445749","25","0.000714779346222123","36","0.434044758172486","slash pine"
"68","975","V","43.3","5.19691797345771","29.5","2.52397388373803","48.5","0.319454699301678","slippery elm"
"69","711","IV","36.2","16.7306770643308","30","1.5564531150372","42","1.94703870468244","sourwood"
"70","662","II","29.5","3.35885683742617","29.5","3.35885683742617","38","1.11781463038139","southern crab apple"
"71","652","II","28","3.95022113137861","28","3.95022113137861","37.5","1.36209994259296","southern magnolia"
"72","812","V","33.4","8.45740100285977","29","1.15132288426213","40","4.54395611128894","southern red oak"
