FID,Id,lat,long
0,0,42,-83
1,0,42,-83
2,0,42,-83
3,0,42,-83
4,0,42,-83
5,0,42,-83
6,0,42,-83
7,0,42,-83
8,0,42,-82
9,0,42,-82
10,0,42,-82
11,0,42,-82
12,0,42,-82
13,0,42,-81
14,0,42,-81
15,0,42,-81
16,0,42,-81
17,0,42,-81
18,0,42,-81
19,0,42,-80
20,0,42,-80
21,0,42,-80
22,0,42,-80
23,0,43,-80
24,0,43,-79
25,0,43,-79
26,0,43,-79
27,0,43,-79
28,0,43,-79
29,0,43,-79
30,0,43,-79
31,0,43,-79
32,0,43,-79
33,0,44,-79
34,0,44,-79
35,0,44,-79
36,0,44,-78
37,0,44,-78
38,0,48,-89
39,0,48,-89
40,0,48,-89
41,0,48,-89
42,0,48,-89
43,0,48,-89
44,0,48,-88
45,0,48,-88
46,0,48,-88
47,0,48,-88
48,0,48,-88
49,0,48,-88
50,0,48,-87
51,0,48,-87
52,0,48,-87
53,0,48,-87
54,0,48,-87
55,0,48,-86
56,0,47,-86
57,0,47,-86
58,0,47,-86
59,0,47,-86
60,0,47,-86
61,0,47,-85
62,0,47,-85
63,0,47,-85
64,0,47,-85
65,0,47,-85
66,0,47,-85
67,0,46,-85
68,0,46,-84
69,0,47,-84
70,0,46,-84
71,0,46,-84
72,0,46,-84
73,0,46,-84
74,0,46,-84
75,0,46,-84
76,0,46,-83
77,0,46,-84
78,0,46,-84
79,0,46,-83
80,0,46,-83
81,0,46,-83
82,0,45,-83
83,0,45,-83
84,0,45,-83
85,0,45,-82
86,0,45,-82
87,0,45,-82
88,0,45,-82
89,0,44,-82
90,0,44,-82
91,0,44,-82
92,0,44,-82
93,0,44,-82
94,0,43,-82
95,0,43,-82
96,0,43,-82
97,0,43,-82
98,0,43,-82
99,0,43,-83
