spcd,common_name,Genus,Species,hof_model_type,direction
422,Allegheny chinkapin,Castanea,pumila,I,
951,American basswood,Tilia,america,V,N
531,American beech,Fagus,grandifolia,V,N
972,American elm,Ulmus,america,V,N
591,American holly,Ilex,opaca,V,N
391,"American hornbeam, musclewood",Carpinus,carolinia,II,S
989,American mangrove,Rhizophora,mangle,endemic species,
766,American plum,Prunus,america,IV,
731,American sycamore,Platanus,occidentalis,III,S
43,Atlantic white-cedar,Chamaecyparis,thyoides,IV,
221,baldcypress,Taxodium,distichum,II,S
882,"beeftree, longleaf blolly",Guapira,discolor,endemic species,
857,belah,Casuari,lepidophloia,endemic species,
402,bitternut hickory,Carya,cordiformis,V,N
762,black cherry,Prunus,seroti,V,N
837,black oak,Quercus,veluti,III,N
602,black walnut,Juglans,nigra,V,N
922,black willow,Salix,nigra,IV,
986,black-mangrove,Avicennia,germins,endemic species,
693,blackgum,Nyssa,sylvatica,IV,
824,blackjack oak,Quercus,marilandica,I,
842,bluejack oak,Quercus,inca,V,N
313,boxelder,Acer,negundo,V,N
987,buttonwood-mangrove,Conocarpus,erectus,endemic species,
912,cabbage palmetto,Sabal,palmetto,II,S
858,camphortree,Cinmomum,camphora,I,
548,Caroli ash,Fraxinus,carolinia,II,S
953,Caroli basswood,Tilia,america,II,S
973,cedar elm,Ulmus,crassifolia,I,
813,cherrybark oak,Quercus,pagoda,V,S
993,chiberry,Melia,azedarach,IV,
994,Chinese tallowtree,Triadica,sebifera,V,N
826,chinkapin oak,Quercus,muehlenbergii,V,S
925,coastal plain willow,Salix,carolinia,II,S
501,cockspur hawthorn,Crataegus,crus-galli,I,
521,common persimmon,Diospyros,virginia,II,N
651,cucumbertree,Magnolia,acumita,IV,
841,dwarf live oak,Quercus,minima,V,S
840,dwarf post oak,Quercus,margarettiae,V,N
701,eastern hophornbeam,Ostrya,virginia,II,N
471,eastern redbud,Cercis,cadensis,II,N
68,eastern redcedar,Juniperus,virginia,V,S
311,Florida maple,Acer,barbatum,V,N
886,Florida poisontree,Metopium,toxiferum,endemic species,
876,Florida strangler fig,Ficus,aurea,endemic species,
491,flowering dogwood,Cornus,florida,V,S
513,grand eucalyptus,Eucalyptus,grandis,endemic species,
544,green ash,Fraxinus,pennsylvanica,II,N
854,gumbo limbo,Bursera,simaruba,endemic species,
462,hackberry,Celtis,occidentalis,V,N
552,honeylocust,Gleditsia,triacanthos,V,N
913,key thatch palm,Thrix,morrisii,endemic species,
820,laurel oak,Quercus,laurifolia,V,S
838,live oak,Quercus,virginia,II,S
131,loblolly pine,Pinus,taeda,V,S
555,loblolly-bay,Gordonia,lasianthus,II,N
121,longleaf pine,Pinus,palustris,V,N
992,melaleuca,Melaleuca,quinquenervia,endemic species,
345,"mimosa, silktree",Albizia,julibrissin,V,N
409,mockernut hickory,Carya,alba,IV,
692,Ogeechee tupelo,Nyssa,ogeche,endemic species,
822,overcup oak,Quercus,lyrata,V,S
367,pawpaw,Asimina,triloba,IV,
404,pecan,Carya,illinoinensis,I,
403,pignut hickory,Carya,glabra,IV,
128,pond pine,Pinus,seroti,V,N
853,pond-apple,Annona,glabra,endemic species,
222,pondcypress,Taxodium,ascendens,II,S
835,post oak,Quercus,stellata,V,N
545,pumpkin ash,Fraxinus,profunda,II,S
316,red maple,Acer,rubrum,V,N
682,red mulberry,Morus,rubra,II,N
873,red stopper,Eugenia,rhombea,endemic species,
721,redbay,Persea,borbonia,II,N
373,river birch,Betula,nigra,V,N
410,sand hickory,Carya,pallida,I,
107,sand pine,Pinus,clausa,V,S
931,sassafras,Sassafras,albidum,IV,
411,scrub hickory,Carya,florida,endemic species,
110,shortleaf pine,Pinus,echita,V,N
834,Shumard oak,Quercus,shumardii,IV,
111,slash pine,Pinus,elliottii,V,S
975,slippery elm,Ulmus,rubra,V,N
711,sourwood,Oxydendrum,arboreum,IV,
662,southern crab apple,Malus,angustifolia,II,S
652,southern magnolia,Magnolia,grandiflora,II,S
812,southern red oak,Quercus,falcata,V,S
67,southern redcedar,Juniperus,virginia,II,S
115,spruce pine,Pinus,glabra,endemic species,
461,sugarberry,Celtis,laevigata,IV,
825,swamp chestnut oak,Quercus,michauxii,I,
744,swamp cottonwood,Populus,heterophylla,IV,
694,swamp tupelo,Nyssa,biflora,V,S
653,sweetbay,Magnolia,virginia,V,S
611,sweetgum,Liquidambar,styraciflua,V,S
828,Texas red oak,Quercus,texa,V,S
863,"tietongue, pigeon-plum",Coccoloba,diversifolia,endemic species,
995,tungoil tree,Vernicia,fordii,endemic species,
819,turkey oak,Quercus,laevis,III,S
401,water hickory,Carya,aquatica,IV,
827,water oak,Quercus,nigra,V,S
691,water tupelo,Nyssa,aquatica,II,S
722,"water-elm, planertree",Planera,aquatica,III,N
551,waterlocust,Gleditsia,aquatica,I,
940,West Indian mahogany,Swietenia,mahagoni,endemic species,
541,white ash,Fraxinus,america,V,N
891,"white bully, willow bustic",Sideroxylon,salicifolium,endemic species,
681,white mulberry,Morus,alba,II,N
802,white oak,Quercus,alba,V,S
988,white-mangrove,Laguncularia,racemosa,endemic species,
831,willow oak,Quercus,phellos,V,S
971,winged elm,Ulmus,alata,V,N
621,yellow-poplar,Liriodendron,tulipifera,V,N
