spcd,common_name,Cut by US-CAN 
591,American holly,No
842,bluejack oak,No
994,Chinese tallowtree,No
840,dwarf post oak,No
311,Florida maple,No
552,honeylocust,No
121,longleaf pine,No
345,"mimosa, silktree",No
128,pond pine,No
835,post oak,No
373,river birch,No
110,shortleaf pine,No
971,winged elm,No
951,American basswood,Yes
531,American beech,Yes
972,American elm,Yes
402,bitternut hickory,Yes
762,black cherry,Yes
602,black walnut,Yes
313,boxelder,Yes
462,hackberry,Yes
316,red maple,Yes
975,slippery elm,Yes
541,white ash,Yes
621,yellow-poplar,Yes
