"","spcd","common_name","genus","species"
"1",951,"American basswood","Tilia","america"
"2",531,"American beech","Fagus","grandifolia"
"3",972,"American elm","Ulmus","america"
"4",402,"bitternut hickory","Carya","cordiformis"
"5",762,"black cherry","Prunus","seroti"
"6",602,"black walnut","Juglans","nigra"
"7",313,"boxelder","Acer","negundo"
"8",462,"hackberry","Celtis","occidentalis"
"9",316,"red maple","Acer","rubrum"
"10",975,"slippery elm","Ulmus","rubra"
"11",541,"white ash","Fraxinus","america"
"12",621,"yellow-poplar","Liriodendron","tulipifera"
