spcd,common_name,peak_lat,peak_location,genus,species
813,cherrybark oak,31.4,Florida,Quercus,pagoda
841,dwarf live oak,28.4,Florida,Quercus,minima
820,laurel oak,30,Florida,Quercus,laurifolia
822,overcup oak,31.6,Florida,Quercus,lyrata
107,sand pine,29.5,Florida,Pinus,clausa
111,slash pine,29.8,Florida,Pinus,elliottii
694,swamp tupelo,30.9,Florida,Nyssa,biflora
653,sweetbay,29.8,Florida,Magnolia,virginia
828,Texas red oak,31.1,Florida,Quercus,texa
827,water oak,31.9,Florida,Quercus,nigra
831,willow oak,31.3,Florida,Quercus,phellos
826,chinkapin oak,36.8,Mainland,Quercus,muehlenbergii
68,eastern redcedar,36.4,Mainland,Juniperus,virginia
491,flowering dogwood,33.3,Mainland,Cornus,florida
131,loblolly pine,32.1,Mainland,Pinus,taeda
812,southern red oak,33.4,Mainland,Quercus,falcata
611,sweetgum,32.9,Mainland,Liquidambar,styraciflua
802,white oak,36.4,Mainland,Quercus,alba
