name,year,time,zone,x,y
doug,2013,2150,15S,569199,3991431
doug,2013,2104,15S,569197,3991423
doug,2013,2224,15S,569102,3991554
doug,2013,2240,15S,569263,3991407
doug,2013,2256,15S,569248,3991401
doug,2013,2122,15S,569123,3991571
doug,2013,2125,15S,569113,3991620
doug,2013,2127,15S,569050,3991495
doug,2013,2128,15S,569142,3991526
doug,2013,2129,15S,569153,3991546
doug,2013,2149,15S,569052,3991595
doug,2013,2108,15S,569047,3991422
doug,2013,2109,15S,568911,3991527
doug,2013,2111,15S,568800,3992062
doug,2013,2127,15S,569305,3991784
doug,2013,2128,15S,569090,3991870
doug,2013,2129,15S,569055,3991648
doug,2013,2143,15S,569018,3991479
doug,2013,2145,15S,568928,3991680
doug,2013,2051,15S,569031,3991287
dre,2013,2053,15S,562183,4000321
dre,2013,2054,15S,561660,4000412
dre,2013,2100,15S,561701,4000237
dre,2013,2112,15S,562079,4001002
dre,2013,2113,15S,561593,4001366
dre,2013,2130,15S,562533,4002503
dre,2013,2143,15S,561858,4000390
dre,2013,2050,15S,561532,4000413
dre,2013,2051,15S,561452,4000265
dre,2013,2102,15S,559992,3999716
dre,2013,2147,15S,560952,4000341
dre,2013,2157,15S,562082,4000787
dre,2013,2053,15S,561159,3998820
dre,2013,2054,15S,561275,3999995
dre,2013,2103,15S,562038,4000123
dre,2013,2104,15S,561753,4000573
dre,2013,2115,15S,561954,4000855
dre,2013,2137,15S,562351,4000267
dre,2013,2138,15S,562242,4000331
dre,2013,2148,15S,562124,4000523
dre,2013,2149,15S,561923,4000472
dre,2013,2223,15S,561094,4000165
dre,2013,2048,15S,561697,4000886
dre,2013,2049,15S,562498,3999270
dre,2013,2146,15S,561599,3999914
dre,2013,2147,15S,561411,4000123
dre,2013,2159,15S,560952,3999193
dre,2013,2200,15S,560970,3999656
dre,2013,2211,15S,560813,3999305
dre,2013,2037,15S,561248,4000680
dre,2013,2134,15S,561910,4002714
dre,2013,2144,15S,560770,4002380
dre,2013,2145,15S,560657,4003288
dre,2013,2146,15S,561027,4001739
dre,2013,2201,15S,561330,4000418
dre,2013,2141,15S,561054,4001609
dre,2013,2142,15S,561494,4001580
elle,2013,2046,15S,575783,3987801
elle,2013,2203,15S,574899,3986673
elle,2013,2204,15S,575165,3986735
elle,2013,2214,15S,575758,3987313
elle,2013,2215,15S,575737,3987519
elle,2013,2221,15S,575889,3987011
elle,2013,2107,15S,575462,3986573
elle,2013,2109,15S,576730,3988631
elle,2013,2119,15S,576840,3987387
elle,2013,2126,15S,574973,3985649
elle,2013,2128,15S,575123,3985789
elle,2013,2134,15S,574967,3985704
elle,2013,2140,15S,575459,3985567
elle,2013,2145,15S,575382,3985487
elle,2013,2146,15S,575499,3985514
elle,2013,2151,15S,575255,3985400
elle,2013,2156,15S,575321,3985781
elle,2013,2157,15S,575145,3985628
elle,2013,2158,15S,575001,3985933
elle,2013,2204,15S,575053,3985899
elle,2013,2205,15S,575227,3985625
elle,2013,2210,15S,575000,3985864
elle,2013,2211,15S,575366,3985882
elle,2013,2216,15S,574868,3986508
elle,2013,2222,15S,575245,3986002
elle,2013,2223,15S,575166,3985956
elle,2013,2228,15S,574770,3986106
elle,2013,2034,15S,575640,3987428
elle,2013,2035,15S,575466,3987184
elle,2013,2036,15S,575165,3986802
elle,2013,2042,15S,575363,3986514
elle,2013,2047,15S,575299,3986702
elle,2013,2049,15S,575369,3986446
elle,2013,2054,15S,575649,3986070
fred,2013,2159,15S,568889,3991743
fred,2013,2209,15S,568491,3991597
fred,2013,2231,15S,569241,3991598
fred,2013,2134,15S,569067,3991337
fred,2013,2121,15S,568982,3991603
fred,2013,2122,15S,569138,3991681
fred,2013,2124,15S,569108,3991696
fred,2013,2134,15S,569331,3991756
fred,2013,2135,15S,569201,3991756
fred,2013,2157,15S,569066,3991560
fred,2013,2159,15S,568917,3991666
fred,2013,2046,15S,568989,3991446
fred,2013,2049,15S,569070,3991183
fred,2013,2103,15S,569066,3991346
fred,2013,2104,15S,569061,3991390
fred,2013,2106,15S,569040,3991362
fred,2013,2116,15S,568755,3991323
fred,2013,2117,15S,569095,3991191
fred,2013,2127,15S,569166,3991665
fred,2013,2129,15S,569058,3991899
fred,2013,2130,15S,569099,3991799
fred,2013,2142,15S,569087,3991485
fred,2013,2144,15S,569063,3991356
fred,2013,2145,15S,569137,3991208
fred,2013,2154,15S,569144,3991275
fred,2013,2202,15S,569072,3991231
fred,2013,2203,15S,569106,3991281
fred,2013,2204,15S,569071,3991236
fred,2013,2210,15S,569163,3991236
fred,2013,2211,15S,569207,3991414
fred,2013,2212,15S,569326,3991347
fred,2013,2221,15S,569211,3991205
fred,2013,2223,15S,569275,3991074
fred,2013,2224,15S,569213,3991145
fred,2013,2244,15S,569106,3991281
fred,2013,2250,15S,569314,3991307
fred,2013,2252,15S,569208,3991280
fred,2013,2253,15S,569160,3991379
gus,2013,2129,15S,569081,3992370
gus,2013,2131,15S,569045,3992154
gus,2013,2133,15S,569203,3993252
gus,2013,2154,15S,569148,3991509
gus,2013,2155,15S,569235,3991871
gus,2013,2207,15S,569469,3991600
gus,2013,2209,15S,569337,3991579
gus,2013,2210,15S,569359,3991539
gus,2013,2212,15S,569307,3991506
gus,2013,2214,15S,569284,3991545
gus,2013,2234,15S,569223,3991608
gus,2013,2235,15S,569343,3991843
gus,2013,2238,15S,569788,3991532
gus,2013,2240,15S,569343,3991652
gus,2013,2241,15S,569204,3991574
gus,2013,2251,15S,569204,3991574
gus,2013,2104,15S,569160,3991648
gus,2013,2105,15S,569216,3991675
gus,2013,2117,15S,569485,3991540
gus,2013,2118,15S,569263,3991675
gus,2013,2129,15S,569241,3991454
gus,2013,2130,15S,569380,3991408
gus,2013,2140,15S,569249,3991437
gus,2013,2141,15S,569271,3991495
gus,2013,2142,15S,569348,3991660
gus,2013,2155,15S,569296,3991499
gus,2013,2203,15S,569222,3991536
gus,2013,2206,15S,569050,3991792
gus,2013,2103,15S,569250,3991436
gus,2013,2104,15S,569260,3991473
gus,2013,2111,15S,569023,3991472
gus,2013,2112,15S,569311,3991333
gus,2013,2119,15S,569363,3991159
gus,2013,2120,15S,569418,3991038
gus,2013,2126,15S,569497,3991379
gus,2013,2127,15S,569545,3991058
gus,2013,2139,15S,569132,3991700
gus,2013,2140,15S,569212,3991634
gus,2013,2149,15S,569241,3991671
gus,2013,2220,15S,569288,3991552
jeb,2013,2148,15S,582918,3987844
jeb,2013,2149,15S,582798,3987687
jeb,2013,2150,15S,582742,3987653
jeb,2013,2200,15S,583497,3986742
jeb,2013,2201,15S,582936,3987546
jeb,2013,2203,15S,582969,3987698
jeb,2013,2213,15S,582736,3987476
jeb,2013,2215,15S,582766,3987568
jeb,2013,2222,15S,582857,3987770
jeb,2013,2223,15S,583106,3988071
jeb,2013,2231,15S,582580,3987516
jeb,2013,2232,15S,582732,3987578
jeb,2013,2236,15S,582966,3988126
jeb,2013,2246,15S,582772,3988324
jeb,2013,2247,15S,582869,3988289
jeb,2013,2253,15S,582860,3987664
jeb,2013,2302,15S,582941,3987667
jeb,2013,2304,15S,582934,3987904
jeb,2013,2121,15S,582736,3987436
jeb,2013,2122,15S,582707,3987798
jeb,2013,2132,15S,582888,3987521
