name,year,time,lat,long
amy,2014,2056,35.96032,-92.338
amy,2014,2100,35.96545,-92.33451
amy,2014,2102,35.96061,-92.33854
amy,2014,2106,35.95666,-92.34437
amy,2014,2117,35.95837,-92.34242
amy,2014,2119,35.96118,-92.34338
amy,2014,2124,35.96215,-92.33726
amy,2014,2126,35.95611,-92.34744
amy,2014,2129,35.95538,-92.34338
amy,2014,2131,35.9557,-92.3408
amy,2014,2136,35.95473,-92.34189
amy,2014,2138,35.95819,-92.34513
amy,2014,2144,35.96542,-92.33132
amy,2014,2145,35.96815,-92.33795
amy,2014,2147,35.96332,-92.3366
amy,2014,2047,35.97214,-92.33893
amy,2014,2049,35.96761,-92.33413
amy,2014,2051,35.96999,-92.3394
amy,2014,2055,35.96061,-92.33854
amy,2014,2057,35.96098,-92.34256
amy,2014,2059,35.95094,-92.3427
amy,2014,2108,35.95628,-92.35229
amy,2014,2112,35.9532,-92.34738
amy,2014,2115,35.95533,-92.3515
amy,2014,2117,35.95543,-92.34946
amy,2014,2120,35.94878,-92.34203
amy,2014,2124,35.95588,-92.32968
amy,2014,2127,35.96314,-92.33864
amy,2014,2140,35.96398,-92.34129
amy,2014,2142,35.96169,-92.33989
amy,2014,2145,35.96436,-92.34304
amy,2014,2147,35.96215,-92.33726
amy,2014,2152,35.95187,-92.33085
amy,2014,2154,35.95965,-92.33575
amy,2014,2157,35.95584,-92.33714
amy,2014,2207,35.95061,-92.33774
ash,2014,2033,36.0296,-92.17011
ash,2014,2035,36.02847,-92.16655
ash,2014,2043,36.0317,-92.16593
ash,2014,2045,36.02726,-92.16602
ash,2014,2052,36.01745,-92.16539
ash,2014,2054,36.01168,-92.16267
ash,2014,2036,36.02918,-92.16655
ash,2014,2038,36.02812,-92.16552
ash,2014,2040,36.02475,-92.16743
ash,2014,2047,36.01764,-92.15883
ash,2014,2049,36.02096,-92.14907
ash,2014,2104,36.0203,-92.14388
ash,2014,2106,36.01843,-92.13981
ash,2014,2118,36.02431,-92.15486
ash,2014,2120,36.02329,-92.16115
ash,2014,2130,36.02488,-92.16192
ash,2014,2132,36.02446,-92.16612
ash,2014,2153,36.0307,-92.16898
ash,2014,2202,36.03363,-92.17499
ash,2014,2204,36.03009,-92.16543
ash,2014,2050,36.01181,-92.16868
ash,2014,2052,36.01486,-92.16606
ash,2014,2101,36.02674,-92.15753
ash,2014,2103,36.02594,-92.1589
ash,2014,2115,36.03011,-92.16383
ash,2014,2126,36.02234,-92.17391
ash,2014,2128,36.02512,-92.17079
ash,2014,2151,36.01431,-92.17029
ash,2014,2153,36.02032,-92.1749
ash,2014,2157,36.02788,-92.18679
ash,2014,2159,36.02387,-92.17701
ash,2014,2206,36.01939,-92.19096
ash,2014,2213,36.02223,-92.19005
ash,2014,2215,36.02084,-92.17484
ash,2014,2100,36.01293,-92.16584
ash,2014,2102,36.01708,-92.16443
ash,2014,2114,36.02258,-92.16198
ash,2014,2120,36.01935,-92.16317
bree,2014,2033,36.01497,-92.16735
bree,2014,2035,36.01651,-92.16185
bree,2014,2044,36.01675,-92.15707
bree,2014,2046,36.01952,-92.1585
bree,2014,2055,36.01971,-92.15809
bree,2014,2121,36.01716,-92.16077
bree,2014,2217,36.00897,-92.16829
bree,2014,2222,36.01559,-92.16345
bree,2014,2227,36.02245,-92.15663
bree,2014,2038,36.02407,-92.15781
bree,2014,2040,36.01381,-92.16339
bree,2014,2058,36.01082,-92.16161
bree,2014,2132,36.02382,-92.16185
bree,2014,2135,36.01424,-92.16303
bree,2014,2159,36.01776,-92.16501
bree,2014,2101,36.0152,-92.161
bree,2014,2032,36.01401,-92.16433
bree,2014,2044,36.01984,-92.16752
bree,2014,2046,36.02058,-92.16428
bree,2014,2056,36.02221,-92.16084
bree,2014,2058,36.0194,-92.16353
bree,2014,2131,36.01924,-92.16557
bree,2014,2133,36.01878,-92.16402
bree,2014,2027,36.01361,-92.16873
bree,2014,2029,36.01766,-92.16832
bree,2014,2037,36.01471,-92.16807
bree,2014,2042,36.01484,-92.16671
bree,2014,2049,36.02426,-92.15599
bree,2014,2051,36.02466,-92.15577
bree,2014,2056,36.02044,-92.1588
bree,2014,2058,36.02198,-92.16037
bree,2014,2105,36.01852,-92.15792
bree,2014,2107,36.01019,-92.16646
bree,2014,2112,36.0131,-92.15665
bree,2014,2114,36.01431,-92.16154
bree,2014,2123,36.01014,-92.16333
bree,2014,2139,36.01706,-92.16748
bud,2014,2055,36.02529,-92.1554
bud,2014,2108,36.01559,-92.16345
bud,2014,2110,36.01402,-92.16932
bud,2014,2057,36.02167,-92.15947
bud,2014,2059,32.02184,-92.15757
bud,2014,2108,36.02083,-92.1638
bud,2014,2110,36.01853,-92.15822
bud,2014,2051,36.02705,-92.15756
bud,2014,2042,36.03304,-92.17306
bud,2014,2044,36.02455,-92.15745
bud,2014,2047,36.02839,-92.14996
bud,2014,2049,36.02806,-92.15269
bud,2014,2052,36.02962,-92.15821
bud,2014,2054,36.03032,-92.15604
bud,2014,2102,36.0149,-92.16445
bud,2014,2104,36.02265,-92.16498
bud,2014,2106,36.02361,-92.16727
bud,2014,2109,36.02765,-92.15909
bud,2014,2114,36.03571,-92.16684
bud,2014,2116,36.03018,-92.16029
bud,2014,2127,36.02705,-92.15756
bud,2014,2129,36.02933,-92.16187
bud,2014,2132,36.02537,-92.15529
bud,2014,2134,36.0316,-92.16126
burt ,2014,2105,36.00917,-92.14623
burt ,2014,2128,36.01119,-92.14537
burt ,2014,2134,36.0241,-92.1568
burt ,2014,2136,36.01623,-92.15398
burt ,2014,2145,36.01998,-92.15359
