X,Y,sex,name,latitude,longitude,elevation,F6,northing,easting
574715.5032,3987679.584,female,ash roost 1,36.03077000000,-92.17609000000,0.00000000000,,3987679.58404000010,574715.50321200001
574272.2393,3985331.9424,female,bree roost 1,36.00964000000,-92.17583000000,0.00000000000,,3985331.94237999991,574272.23929599999
574491.9112,3987165.2008,female,deedee roost 1,36.02615000000,-92.17322000000,0.00000000000,,3987165.20081999991,574491.91124699998
575809.1485,3987702.2792,female,elle roost 1,36.03089000000,-92.15855000000,0.00000000000,,3987702.27916999999,575809.14849699999
574653.186,3986425.5815,female,kate roost 1,36.01947000000,-92.17150000000,0.00000000000,,3986425.58149999985,574653.18600600003
562564.721,4000264.2725,female,kiki roost 1,36.14508000000,-92.30455000000,0.00000000000,,4000264.27247000020,562564.72101900005
577252.8886,3984800.8129,female,kim roost 1,36.00462000000,-92.14281000000,0.00000000000,,3984800.81291999994,577252.88862400001
560626.2353,3979763.0742,female,marcy roost 1,35.96038000000,-92.32767000000,0.00000000000,,3979763.07415999984,560626.23531200003
572872.2681,3987758.3644,female,mary roost 1,36.03162000000,-92.19114000000,0.00000000000,,3987758.36437000008,572872.26808499999
574531.5902,3986630.8713,female,maternity roost,36.02133000000,-92.17283000000,0.00000000000,,3986630.87135000015,574531.59018000006
574385.0729,3986693.9654,female,mia roost 1,36.02191000000,-92.17445000000,0.00000000000,,3986693.96545000002,574385.07287100004
574018.6636,3987400.7966,female,pam and meg roost,36.02831000000,-92.17845000000,0.00000000000,,3987400.79657999985,574018.66358399997
561974.8836,4000467.4981,female,shay roost 1,36.14695000000,-92.31109000000,0.00000000000,,4000467.49809999997,561974.88357199996
575890.7705,3989515.5382,female,sue roost 1,36.04723000000,-92.15747000000,0.00000000000,,3989515.53824000014,575890.77045099996
575467.0176,3986205.1428,female,tess roost 1,36.01742000000,-92.16249000000,0.00000000000,,3986205.14277999988,575467.01758099999
