sp,x,y,CV_TEMP,DRAINAGE_DENS,DS_AVGRIPTRECOV,DS_AVGSLOPE,DS_MINCOLDP_TEMP,MAXWARMP_TEMP,MEAN_MRVBF,NONATVEG,SLOPE_PERCENT,TOTLENGTH_UCA,TRECOV,UC_CV_PPT,UC_RIP_TRECOV,UC_ROAD_DENS,UC_SOLDEPTH,UC_TWI,UCWARMQT_PPT,US_MAXSLOPE,RIV
bg,10001,10001,1.52,1.4158,0.4007,0.0949,2.8923,25.8,3.1175,1,2.3259,2.1984,0,27.2805,0.0152,0.6095,1.1,11.7277,120.6303,2.8773,3
bg,10002,10002,1.53,0.7522,0.4257,0.2572,2.4056,22.9378,0.0174,0,21.6602,0.1273,1,33.0284,1,1.5156,1.2,8.3185,215.1087,21.6602,1
bg,10003,10003,1.73,0.9489,0.0935,0.4686,2.6884,29.5549,0.9147,0.3553,1.4666,1.0115,0.0447,23.0293,0.0725,0,0.7,10.4142,88.6094,2.1889,3
bg,10004,10004,1.6408,0.6878,0.7771,0.6535,1.8622,25.1109,0,0,37.031,0.0707,1,34,1,0,1.2,8.1349,210.3385,37.031,4
bg,10005,10005,1.7,1.5239,0,0.1203,3.2,30.5683,8.44,0.9634,0.1203,0.1,0,23,0,0,0.9,14.2269,64,0.1203,2
bg,10006,10006,1.91,2.3695,0.146,0.1868,2.0754,30.6,3.8889,1,3.2506,42.6408,0,24.5589,0.3234,0.869,0.9,9.312,154.111,26.5036,4
bg,10007,10007,1.8886,1.7464,0.1058,0.303,1.9607,29.1685,0.1382,0.8672,4.8784,7.571,0.1328,26.2198,0.5612,0.7646,0.9,8.5866,164.6542,28.9859,4
bg,10008,10008,1.7105,1.3558,0.6533,1.334,1.615,25.256,0,0,29.5558,0.1838,1,36.0649,1,0,0.9,7.8598,214.4454,34.0562,4
bg,10009,10009,1.4916,1.2377,0.7366,0.0704,3.0364,27.4703,1.6315,0.7621,1.4266,0.4411,0.238,28,0.9999,0.9354,0.9,11.709,99.7228,1.7509,2
bg,10010,10010,1.61,1.5251,0.4591,0.0436,2.9703,28.7111,2.7785,0.4041,0.2521,649.1108,0.3603,24.1186,0.3961,1.9389,0.9615,10.9253,108.8368,257.0625,3
bg,10011,10011,1.87,1.8924,0.5456,0.6116,2.4503,30.6328,0.6853,0.2904,1.6948,15.0842,0.47,20.6444,0.9376,0.9663,0.4196,10.0357,119.0568,8.421,1
bg,10012,10012,1.8391,1.0871,0.2695,0.1664,1.4152,28.6755,0.6309,0.9969,7.2417,0.1383,0,27.9403,0,0.2006,0.9,10.6091,169.5818,7.2417,4
bg,10013,10013,1.64,2.9844,0.372,0.125,2.595,28.2339,1.209,0.0757,2.426,0.6757,0.4861,25.6025,0.164,3.319,0.9,10.2754,141.8216,56.5685,1
bg,10014,10014,1.66,1.0245,0.322,0.077,2.4515,28.8983,2.1814,0.9661,1.7991,0.4463,0,22,0,0,0.9,10.5712,119.9807,4.6676,1
bg,10015,10015,1.6632,5.2985,0.3999,0.117,2.4756,27.6866,0.2394,0.3088,6.7813,0.9198,0.1844,25.2742,0.1503,0.4182,0.9,9.3338,128.5346,28.6165,1
