Id,x,y,SLOPE_PERCENT,DS_AVGSLOPE,US_MAXSLOPE,TOTLENGTH_UCA,DRAINAGE_DENS,MEAN_MRVBF,UC_CV_PPT,UCWARMQT_PPT,CV_TEMP,MAXWARMP_TEMP,DS_MINCOLDP_TEMP,UC_SOLDEPTH,NONATVEG,UC_ROAD_DENS,TRECOV,DS_AVGRIPTRECOV,UC_RIP_TRECOV,UC_TWI,RIV,Gadbis
61957,1,1,2.6639,0.0935,7.4743,2.2642,1.883,0.5126,20.7189,140.8134,1.57,27.7561,2.5892,0.9,0.5743,0.4563,0.1881,0.3754,0.1269,8.8916,1,0
61962,1,1,0.8246,0.0945,24.0202,31.8802,2.4166,2.3007,20.5359,145.1149,1.57,27.8056,2.5781,0.9,0.9815,1.2985,0.0185,0.3614,0.2953,9.3083,1,0
61963,1,1,1.2607,0.0861,15.1212,9.5059,2.1988,0.8543,21.894,137.0742,1.58,28.1339,2.6038,0.9,0.9128,0.8601,0.0697,0.377,0.1493,9.5021,1,0
61964,1,1,3.4876,0.9865,48.1767,31.1349,2.1244,0.3066,28.5001,178.1566,1.5994,27.7847,2.7921,0.9,0.288,2.3039,0.7092,0.3704,0.9907,9.1746,1,0
61968,1,1,2.0712,0.0874,15.1212,10.1198,2.563,1.3997,22.4475,140.8491,1.58,28.1716,2.6038,0.9,0.5403,0.9888,0.3131,0.3777,0.2482,9.2954,1,0
61982,1,1,5.8145,0.091,6.3731,0.4246,2.4456,0.2857,20.4493,134.4493,1.5739,27.9523,2.5945,0.9,0.2926,0.6259,0.0553,0.3772,0.0263,9.1697,1,0
61983,1,1,3.2156,0.0978,3.2156,0.7191,2.1351,0.6711,21.7352,137.6734,1.58,27.9259,2.6057,0.9,0.2613,0.6074,0.0178,0.3765,0.0243,9.5716,1,0
61986,1,1,0.338,0.077,8.738,5.498,2.3047,1.6041,20.4935,131.689,1.58,28.3061,2.5965,0.9,0.7806,0.7208,0.1094,0.3792,0.2351,10.1423,1,0
61987,1,1,2.8154,0.0916,15.1212,0.1673,0.6993,0.5204,21.1154,136.1823,1.58,28.0445,2.6045,0.9,0.2876,0,0.0167,0.3773,0.1176,9.6247,1,0
62005,1,1,7.0044,0.1052,7.0044,0.697,1.9622,0.1171,21.1712,143.8232,1.57,27.2097,2.5895,0.9,0.616,1.63,0.0022,0.3737,0,8.4991,1,0
